Repetition rate,exeTime[s],,real time
488,2.1305,,
489,2.0937,,
490,2.1063,,
491,2.1787,,
492,2.0796,,
493,2.0343,,
494,1.9637,,
495,1.9492,,
496,2.2099,,
497,2.0883,,
498,2.0794,,
499,2.1957,,
500,2.314,,
501,2.2165,,
502,2.1313,,
503,2.1556,,
504,2.1477,,
505,2.1673,,
506,2.1475,,
507,2.0614,,
508,2.1029,,
509,1.9865,,
510,2.1463,,
511,2.1898,,
512,2.2887,,
513,2.2092,,
514,2.2467,,
515,2.1036,,
516,2.2061,,
517,2.1888,,
518,2.1781,,
519,2.0848,,
520,2.1663,,
521,2.0285,,
522,2.0552,,
523,2.0265,,
524,2.2425,,
525,2.2037,,
526,2.0718,,
527,2.1393,,
528,2.1704,,
529,2.127,,
530,2.2083,,
531,2.1569,,
532,2.1102,,
533,2.0419,,
534,2.092,,
535,2.112,,
536,2.1123,,
537,2.0628,,
538,1.9869,,
539,2.061,,
540,2.1523,,
541,2.1216,,
542,2.1661,,
543,2.1567,,
544,2.1464,,
545,2.1539,,
546,2.2628,,
547,2.0498,,
548,2.1391,,
549,2.0806,,
550,2.0085,,
551,2.1077,,
552,2.0739,,
553,2.1532,,
554,2.2932,,
555,2.1936,,
556,2.1817,,
557,2.1247,,
558,2.3222,,
559,2.2289,,
560,2.1864,,
561,2.1131,,
562,2.239,,
563,2.1143,,
564,2.1931,,
565,2.0771,,
566,2.0441,,
567,2.1752,,
568,2.1985,,
569,2.0572,,
570,2.1335,,
571,2.1632,,
572,2.1429,,
573,2.1269,,
574,2.0886,,
575,2.2124,,
576,2.4793,,
577,2.2357,,
578,2.1644,,
579,2.2226,,
580,2.1533,,
581,1.9502,,
582,2.1847,,
583,2.0955,,
584,2.1015,,
585,2.0752,,
586,2.2482,,
587,2.0894,,
588,2.1607,,
589,2.1668,,
590,2.0875,,
591,2.1532,,
592,2.0202,,
593,2.013,,
594,2.0843,,
595,1.9518,,
596,2.0397,,
597,2.1092,,
598,2.0917,,
599,2.09,,
600,2.0866,,
601,2.1127,,
602,2.1059,,
603,2.2458,,
604,2.1459,,
605,2.2175,,
606,2.2617,,
607,2.0719,,
608,2.1493,,
609,2.0045,,
610,2.0455,,
611,2.2309,,
612,2.1304,,
613,2.1225,,
614,2.1656,,
615,2.1696,,
616,2.1989,,
617,2.1092,,
618,2.0907,,
619,2.0693,,
620,2.2755,,
621,2.1744,,
622,2.1081,,
623,2.0266,,
624,2.0479,,
625,2.0035,,
626,2.0259,,
627,2.1675,,
628,2.0518,,
629,2.204,,
630,2.0966,,
631,2.1705,,
632,2.1652,,
633,2.0837,,
634,2.1156,,
635,2.1611,,
636,2.1357,,
637,2.0309,,
638,1.954,,
639,2.0565,,
640,2.0027,,
641,2.2582,,
642,2.1362,,
643,2.1909,,
644,2.1069,,
645,2.0961,,
646,2.1664,,
647,2.1919,,
648,2.199,,
649,2.0884,,
650,2.2087,,
651,2.0539,,
652,2.0708,,
653,2.0614,,
654,1.9821,,
655,2.2161,,
656,2.1739,,
657,2.2057,,
658,2.5672,,
659,2.8691,,
660,2.4994,,
661,2.6977,,
662,2.6096,,
663,2.7008,,
664,2.5204,,
665,2.3004,,
666,2.1448,,
667,2.0669,,
668,2.2201,,
669,2.337,,
670,2.1441,,
671,2.1205,,
672,2.115,,
673,2.2005,,
674,2.3136,,
675,2.111,,
676,2.0762,,
677,2.1587,,
678,2.1336,,
679,2.1682,,
680,2.1123,,
681,2.0683,,
682,1.9663,,
683,2.144,,
684,2.1212,,
685,2.1018,,
686,2.1503,,
687,2.1563,,
688,2.1459,,
689,2.1422,,
690,2.1022,,
691,2.1222,,
692,2.0907,,
693,2.0944,,
694,2.0388,,
695,2.0986,,
696,2.0634,,
697,2.0545,,
698,2.1964,,
699,2.099,,
700,2.123,,
701,2.0189,,
702,2.3141,,
703,2.1109,,
704,2.0635,,
705,2.1206,,
706,2.1209,,
707,2.1888,,
708,2.1605,,
709,2.0153,,
710,2.0452,,
711,2.0355,,
712,1.9495,,
713,2.1492,,
714,2.2133,,
715,2.1318,,
716,2.1658,,
717,2.2021,,
718,2.1468,,
719,2.1482,,
720,2.0661,,
721,2.1218,,
722,2.2206,,
723,2.0349,,
724,2.0612,,
725,2.0155,,
726,1.9556,,
727,1.9561,,
728,2.1237,,
729,2.1845,,
730,2.0705,,
731,2.1631,,
732,2.1337,,
733,2.1107,,
734,2.1992,,
735,2.1667,,
736,2.1302,,
737,2.1563,,
738,2.1328,,
739,2.1013,,
740,2.0938,,
741,2.1083,,
742,1.9603,,
743,2.2842,,
744,2.0277,,
745,2.1297,,
746,2.141,,
747,2.1275,,
748,2.2221,,
749,2.1289,,
750,2.126,,
751,2.1398,,
752,2.1334,,
753,2.0415,,
754,2.0312,,
755,2.111,,
756,1.9905,,
757,2.1663,,
758,2.2468,,
759,2.2564,,
760,2.1177,,
761,2.1373,,
762,2.1834,,
763,2.093,,
764,2.1383,,
765,2.1099,,
766,2.1338,,
767,2.1021,,
768,2.0759,,
769,2.0826,,
770,2.0387,,
771,2.2058,,
772,2.0781,,
773,2.1087,,
774,2.2174,,
775,2.1848,,
776,2.1851,,
777,2.1419,,
778,2.1913,,
779,2.1366,,
780,2.242,,
781,2.1622,,
782,2.0466,,
783,2.0736,,
784,1.9495,,
785,2.124,,
786,1.9611,,
787,2.1038,,
788,2.1892,,
789,2.1368,,
790,2.2395,,
791,2.1641,,
792,2.1587,,
793,2.075,,
794,2.085,,
795,2.1683,,
796,2.1697,,
797,2.0997,,
798,2.0411,,
799,2.0514,,
800,1.9719,,
801,2.074,,
802,2.1119,,
803,2.1172,,
804,2.2596,,
805,2.1116,,
806,2.0663,,
807,2.0506,,
808,2.2404,,
809,2.1842,,
810,2.2932,,
811,2.2091,,
812,2.0312,,
813,2.0926,,
814,2.0338,,
815,2.0356,,
816,2.0677,,
817,2.0671,,
818,2.2006,,
819,2.0944,,
820,2.1386,,
821,2.1175,,
822,2.0343,,
823,2.2689,,
824,2.208,,
825,2.1569,,
826,2.0098,,
827,1.954,,
828,2.012,,
829,1.9776,,
830,2.0396,,
831,2.1376,,
832,2.0882,,
833,2.0509,,
834,2.2231,,
835,2.2487,,
836,2.1002,,
837,2.0585,,
838,2.1607,,
839,2.0975,,
840,2.3413,,
841,2.0918,,
842,2.062,,
843,2.139,,
844,2.0478,,
845,2.0088,,
846,2.1576,,
847,2.1762,,
848,2.2413,,
849,2.1172,,
850,2.1745,,
851,2.284,,
852,2.0804,,
853,2.1686,,
854,2.139,,
855,2.1219,,
856,2.0492,,
857,1.9619,,
858,1.9974,,
859,1.9624,,
860,2.0521,,
861,2.0919,,
862,2.1408,,
863,2.108,,
864,2.1502,,
865,2.0202,,
866,2.185,,
867,2.07,,
868,2.2015,,
869,2.1148,,
870,2.0935,,
871,2.2321,,
872,2.0406,,
873,2.0385,,
874,2.0246,,
875,1.9742,,
876,2.1897,,
877,2.1105,,
878,2.0718,,
879,2.0863,,
880,2.2488,,
881,2.1283,,
882,2.2936,,
883,2.1098,,
884,2.2084,,
885,2.2115,,
886,2.0719,,
887,2.0812,,
888,2.0154,,
889,2.0034,,
890,1.9823,,
891,2.0744,,
892,2.0738,,
893,2.1248,,
894,2.1121,,
895,2.1181,,
896,2.2405,,
897,2.0841,,
898,2.1782,,
899,2.2209,,
900,2.2398,,
901,2.0703,,
902,2.0502,,
903,2.025,,
904,2.1345,,
905,1.9583,,
906,2.1343,,
907,2.089,,
908,2.096,,
909,2.147,,
910,2.181,,
911,2.1291,,
912,2.1328,,
913,2.1812,,
914,2.1495,,
915,2.367,,
916,2.3389,,
917,2.0416,,
918,2.0262,,
919,1.9305,,
920,1.9809,,
921,2.0351,,
922,2.0669,,
923,2.1323,,
924,2.0439,,
925,2.0674,,
926,2.0824,,
927,1.9874,,
928,2.0133,,
929,2.0657,,
930,2.0142,,
931,2.006,,
932,1.9948,,
933,1.9246,,
934,1.9739,,
935,2.0903,,
936,2.0483,,
937,2.0359,,
938,2.0295,,
939,2.059,,
940,2.0234,,
941,2.0333,,
942,2.0453,,
943,2.0419,,
944,2.0243,,
945,2.018,,
946,1.9635,,
947,1.9316,,
948,1.9252,,
949,1.9875,,
