Repetition rate,Coppelia_simTime[s],,
661,0.29999,,
662,0.29999,,
663,0.25,,
664,0.30005,,
665,0.20001,,
666,0.30005,,
667,0.30005,,
668,0.20001,,
669,0.29999,,
670,0.24994,,
671,0.30005,,
672,0.30005,,
673,0.30005,,
674,0.29993,,
675,0.30005,,
676,0.29993,,
677,0.25,,
678,0.25,,
679,0.25,,
680,0.20007,,
681,0.25012,,
682,0.25,,
683,0.29993,,
684,0.25,,
685,0.15002,,
686,0.25,,
687,0.30005,,
688,0.2998,,
689,0.25,,
690,0.30005,,
691,0.30005,,
692,0.40002,,
693,0.30005,,
694,0.29993,,
695,0.30005,,
696,0.25,,
697,0.25,,
698,0.25,,
699,0.30005,,
700,0.30005,,
701,0.30005,,
702,0.30005,,
703,0.19995,,
704,0.25,,
705,0.29993,,
706,0.25,,
707,0.29993,,
708,0.25,,
709,0.30005,,
710,0.1499,,
711,0.30005,,
712,0.25,,
713,0.24988,,
714,0.25,,
715,0.25,,
716,0.30005,,
717,0.34998,,
718,0.25012,,
719,0.30005,,
720,0.25,,
721,0.20007,,
722,0.30005,,
723,0.30005,,
724,0.25,,
725,0.29993,,
726,0.30005,,
727,0.30005,,
728,0.30005,,
729,0.34985,,
730,0.25,,
731,0.25,,
732,0.20007,,
733,0.29993,,
734,0.29993,,
735,0.20007,,
736,0.25,,
737,0.25,,
738,0.25,,
739,0.30005,,
740,0.34998,,
741,0.19995,,
742,0.25,,
743,0.25,,
744,0.30005,,
745,0.19983,,
746,0.30005,,
747,0.2998,,
748,0.25,,
749,0.25,,
750,0.19995,,
751,0.3501,,
752,0.30005,,
753,0.30005,,
754,0.34985,,
755,0.30005,,
756,0.2998,,
757,0.30005,,
758,0.25,,
759,0.3501,,
760,0.30005,,
761,0.30005,,
762,0.25,,
763,0.19995,,
764,0.25024,,
765,0.3501,,
766,0.19995,,
767,0.34985,,
768,0.19995,,
769,0.25024,,
770,0.25,,
771,0.25024,,
772,0.30005,,
773,0.30005,,
774,0.34985,,
775,0.30005,,
776,0.30005,,
777,0.2002,,
778,0.34985,,
779,0.2998,,
780,0.25,,
781,0.34985,,
782,0.30005,,
783,0.19995,,
784,0.25,,
785,0.30005,,
786,0.25,,
787,0.3501,,
788,0.24976,,
789,0.30005,,
790,0.24976,,
791,0.25,,
792,0.30005,,
793,0.30005,,
794,0.30005,,
795,0.25,,
796,0.2002,,
797,0.25,,
798,0.2002,,
799,0.15015,,
800,0.15015,,
801,0.25,,
802,0.3,,
803,0.3,,
804,0.2,,
805,0.25,,
806,0.3,,
807,0.2,,
808,0.2,,
809,0.2,,
810,0.3,,
811,0.25,,
812,0.25,,
813,0.25,,
814,0.25,,
815,0.25,,
816,0.2,,
817,0.3,,
818,0.25,,
819,0.25,,
820,0.29999,,
821,0.25,,
822,0.20001,,
823,0.24997,,
824,0.25,,
825,0.25,,
826,0.25,,
827,0.35001,,
828,0.29999,,
829,0.25003,,
830,0.25,,
831,0.30002,,
832,0.35001,,
833,0.24997,,
834,0.20001,,
835,0.30005,,
836,0.29999,,
837,0.25003,,
838,0.20001,,
839,0.29999,,
840,0.29999,,
841,0.19995,,
842,0.29999,,
843,0.25006,,
844,0.25006,,
845,0.29999,,
846,0.25,,
847,0.30005,,
848,0.29999,,
849,0.30005,,
850,0.29993,,
851,0.30005,,
852,0.25,,
853,0.40002,,
854,0.29999,,
855,0.25,,
856,0.19995,,
857,0.30005,,
858,0.24994,,
859,0.29999,,
860,0.25006,,
861,0.30005,,
862,0.29999,,
863,0.30005,,
864,0.29999,,
865,0.25,,
866,0.25,,
867,0.30005,,
868,0.29999,,
869,0.34991,,
870,0.25006,,
871,0.29999,,
872,0.34998,,
873,0.30005,,
874,0.29993,,
875,0.30005,,
